page,id,format,pgfplots,plot,model,path
63,page-63-q12-diag-graph,image,False,False,False,linear-complete-page-63/2/content/questionDiagrams/0
64,page-64-q13-diag,image,False,False,False,linear-complete-page-64/0/content/questionDiagrams/0
64,page-64-q14-diag,image,False,False,False,linear-complete-page-64/1/content/questionDiagrams/0
64,page-64-q14-root-plotted-answer,tikz,False,False,True,linear-complete-page-64/1/content/answer/solutionDiagrams/0
64,page-64-q15-diag,image,False,False,False,linear-complete-page-64/2/content/questionDiagrams/0
64,page-64-q15-root-plotted-answer,tikz,False,False,True,linear-complete-page-64/2/content/answer/solutionDiagrams/0
65,page-65-b1-diag-tikz,tikz,False,False,False,linear-complete-page-65/1
66,page-66-q1-p4-diag,image,False,False,False,linear-complete-page-66/0/content/children/3/questionDiagrams/0
66,page-66-q1-p4-sol-diag,tikz,False,False,False,linear-complete-page-66/0/content/children/3/answer/solutionDiagrams/0
67,page-67-diag-q1,image,False,False,False,linear-complete-page-67/0/content/children/0/questionDiagrams/0
67,page-67-q1-root-representations-graph,tikz,False,False,True,linear-complete-page-67/0/content/children/0/answer/solutionDiagrams/0
67,page-67-diag-q2,image,False,False,False,linear-complete-page-67/1/content/children/0/questionDiagrams/0
67,page-67-q2-root-representations-graph,tikz,False,False,True,linear-complete-page-67/1/content/children/0/answer/solutionDiagrams/0
68,page-68-diag-q1,image,False,False,False,linear-complete-page-68/0/content/children/0/questionDiagrams/0
68,page-68-q1-root-representations-graph,tikz,False,False,True,linear-complete-page-68/0/content/children/0/answer/solutionDiagrams/0
68,page-68-diag-q2,image,False,False,False,linear-complete-page-68/1/content/children/0/questionDiagrams/0
68,page-68-q2-root-representations-graph,tikz,False,False,True,linear-complete-page-68/1/content/children/0/answer/solutionDiagrams/0
69,page-69-diag-q3,image,False,False,False,linear-complete-page-69/0/content/children/0/questionDiagrams/0
69,page-69-q3-root-representations-graph,tikz,False,False,True,linear-complete-page-69/0/content/children/0/answer/solutionDiagrams/0
69,page-69-diag-q4,image,False,False,False,linear-complete-page-69/1/content/children/0/questionDiagrams/0
69,page-69-q4-root-representations-graph,tikz,False,False,True,linear-complete-page-69/1/content/children/0/answer/solutionDiagrams/0
70,page-70-q5-diagram-1,image,False,False,False,linear-complete-page-70/0/content/children/0/questionDiagrams/0
70,page-70-q5-root-representations-graph,tikz,False,False,True,linear-complete-page-70/0/content/children/0/answer/solutionDiagrams/0
70,page-70-q6-diagram-1,image,False,False,False,linear-complete-page-70/1/content/children/0/questionDiagrams/0
70,page-70-q6-root-representations-graph,tikz,False,False,True,linear-complete-page-70/1/content/children/0/answer/solutionDiagrams/0
71,page-71-q8-diagram-1,image,False,False,False,linear-complete-page-71/1/content/questionDiagrams/0
73,page-73-block-2-graph,tikz,False,False,True,linear-complete-page-73/2/examples/0/questionDiagrams/0
73,page-73-block-3-graph,tikz,False,False,True,linear-complete-page-73/3/examples/0/questionDiagrams/0
73,page-73-block-4-graph,tikz,False,False,True,linear-complete-page-73/4/examples/0/questionDiagrams/0
74,page-74-block-1-graph0,tikz,False,False,False,linear-complete-page-74/1/examples/0/questionDiagrams/0
74,page-74-block-1-graph1,tikz,False,False,False,linear-complete-page-74/1/examples/1/questionDiagrams/0
74,page-74-block-1-graph2,tikz,False,False,False,linear-complete-page-74/1/examples/2/questionDiagrams/0
74,page-74-block-1-graph3,tikz,False,False,False,linear-complete-page-74/1/examples/3/questionDiagrams/0
74,page-74-block-1-graph4,tikz,False,False,False,linear-complete-page-74/1/examples/4/questionDiagrams/0
74,page-74-block-2-graph0,tikz,False,False,False,linear-complete-page-74/4/examples/0/questionDiagrams/0
74,page-74-block-2-graph1,tikz,False,False,False,linear-complete-page-74/4/examples/1/questionDiagrams/0
74,page-74-block-2-graph2,tikz,False,False,False,linear-complete-page-74/4/examples/2/questionDiagrams/0
74,page-74-block-2-graph3,tikz,False,False,False,linear-complete-page-74/4/examples/3/questionDiagrams/0
74,page-74-block-2-graph4,tikz,False,False,False,linear-complete-page-74/4/examples/4/questionDiagrams/0
75,page-75-block-1-image0,image,False,False,False,linear-complete-page-75/0/examples/0/questionDiagrams/0
75,page-75-block-2-image0,image,False,False,False,linear-complete-page-75/1/examples/0/questionDiagrams/0
75,page-75-block-2-image1,image,False,False,False,linear-complete-page-75/1/examples/1/questionDiagrams/0
75,page-75-block-3-image0,image,False,False,False,linear-complete-page-75/2/examples/0/questionDiagrams/0
75,page-75-block-3-image1,image,False,False,False,linear-complete-page-75/2/examples/1/questionDiagrams/0
